KILLSTANDARDIZED,PLACE STANDARDIZED,RANK
-0.3324036169,0.5325537019,7
0.3673934713,-0.5325537019,8
-0.1924441993,0.1775179006,9
0.3673934713,-0.7100716025,10
-0.3324036169,0,11
-0.4723630346,0,12
-1.172160123,0.8875895031,13
0.08747463603,-1.065107404,14
-1.592038376,-1.775179006,15
-1.871957211,-1.597661106,16
1.670207492,1.657736892,1
1.229713208,1.105157928,2
0.6423874968,1.519592151,3
0.7892189246,0.552578964,4
0.7892189246,0.414434223,5
0.3487246411,0.828868446,6
0.7892189246,0.138144741,7
0.3487246411,0.138144741,8
-0.5322639259,0.138144741,9
-1.119589637,0,10
0.05506178544,-1.38144741,11
-0.0917696424,-1.243302669,12
-1.119589637,-0.690723705,13
-0.6790953537,-1.243302669,14
-1.413252493,-0.690723705,15
-1.706915349,-1.243302669,16
1.825741858,1.341640786,1
1.026979795,1.341640786,2
0.798762063,0.894427191,3
0.798762063,0.7826237921,4
-0.4564354646,1.788854382,5
0.5705443307,0.3354101966,6
0.4564354646,-0.1118033989,7
1.597524126,-1.565247584,8
-0.798762063,0.1118033989,9
-0.4564354646,-0.5590169944,10
-0.5705443307,-0.4472135955,11
-0.9128709292,-0.5590169944,12
-0.6846531969,-0.894427191,13
-1.369306394,-0.2236067977,14
-0.798762063,-1.229837388,15
-1.026979795,-1.00623059,16
1.730322322,1.677050983,1
1.608361278,1.490711985,2
1.486400233,0.1863389981,3
0.3887508301,1.677050983,4
0.6326729196,0.3726779962,5
0.5107118749,0.3726779962,6
0.1448287406,0.5590169944,7
-0.09909334886,0.3726779962,8
-0.09909334886,-0.3726779962,9
-0.3430154384,-0.9316949906,10
-0.7088985726,-0.9316949906,11
-0.9528206621,-0.5590169944,12
-0.9528206621,-0.7453559925,13
-1.074781707,-0.7453559925,14
-0.8308596174,-1.490711985,15
-1.440664841,-0.9316949906,16
2.43077605,2.134704201,1
1.353755277,1.0673521,2
1.234086302,0.5336760502,3
0.03739655462,1.601028151,4
0.5160724537,0.711568067,5
0.3964034789,-0.1778920167,6
0.1570655294,-0.1778920167,7
-0.3216103697,0.3557840335,8
-0.08227242016,-0.711568067,9
-0.4412793445,-0.3557840335,10
-0.680617294,-0.1778920167,11
-0.5609483193,-0.711568067,12
-0.8002862688,-0.711568067,13
-0.9199552436,-0.711568067,14
-1.039624218,-1.245244117,15
-1.278962168,-1.423136134,16
1.446231018,1.053390311,1
0.5562426994,1.829572646,2
1.668728098,0.2772079766,3
0,1.829572646,4
1.223733939,0.3880911673,5
0,1.053390311,6
0.6674912392,0.05544159532,7
0.6674912392,-0.4989743579,8
0.3337456196,-0.166324786,9
-0.6674912392,-0.2772079766,10
-0.3337456196,-0.7207407392,11
-0.5562426994,-0.6098575485,12
-1.334982478,-0.7207407392,13
-1.001236859,-1.164273502,14
-1.112485399,-1.275156692,15
-1.557479558,-1.053390311,16
1.138126611,2.446950972,1
1.85931575,0.7196914624,2
0.5972347561,1.007568047,3
0.5972347561,0.7196914624,4
0.2366401864,0.7196914624,5
0.2366401864,0.4318148775,6
0.777532041,-0.5757531699,7
0.4169374713,-0.5757531699,8
-1.205738093,0.7196914624,9
0.2366401864,-0.7196914624,10
0.2366401864,-0.8636297549,11
-0.1239543833,-0.7196914624,12
-0.4845489531,-0.4318148775,13
-1.566332662,-0.7196914624,14
-1.566332662,-0.7196914624,15
-1.386035377,-1.439382925,16
0.7201371821,1.822052519,1
2.091827053,-0.1544112304,2
1.634597096,0.2161757226,3
0.5372451993,1.204407597,4
0.1714612338,1.698523535,5
0.8115831734,0.7102916599,6
0.3543532166,0.4632336912,7
0.3543532166,0.3397047069,8
-0.285768723,0.09264673825,9
-0.5601066972,-0.5249981834,10
-0.7429986799,-0.6485271677,11
-0.8344446713,-0.6485271677,12
-1.108782645,-0.8955851364,13
-0.9258906626,-1.266172089,14
-1.017336654,-1.266172089,15
-1.200228637,-1.142643105,16
0.864078264,2.405351177,1
1.3707629,0.979957887,2
0.719311225,0.979957887,3
1.587913459,-0.5345224838,4
1.3707629,-0.3563483225,5
0.3573936275,0.8017837257,6
0.5021606665,0.4454354032,7
-0.2216745285,0.7126966451,8
-0.2216745285,0.2672612419,9
-0.5112086064,-0.4454354032,10
-0.3664415675,-0.8017837257,11
-0.8007426844,-0.3563483225,12
-0.8007426844,-0.7126966451,13
-0.8007426844,-0.8017837257,14
-1.45219436,-1.33630621,15
-1.596961399,-1.247219129,16
2.370890829,2.600260063,1
2.247326486,1.521633666,2
0.5174256858,-0.01926118565,3
0.02316831429,0.44300727,4
0.02316831429,0.2889177848,5
0.270297,-0.3274401561,6
-0.8417820858,1.059365211,7
0.02316831429,-0.4815296413,8
0.02316831429,-0.7897086117,9
-0.7182177429,-0.1733506709,10
-0.5946534001,-0.4815296413,11
-0.8417820858,-0.1733506709,12
-0.3475247143,-0.7897086117,13
-0.8417820858,-0.4815296413,14
-0.5946534001,-1.097887582,15
-0.7182177429,-1.097887582,16
2.671098548,1.342104647,1
0.5670947687,1.342104647,2
0.9615954774,0.6813762055,3
0.8300952411,0.8465583159,4
0.8300952411,-0.309716457,5
-0.3534068848,1.176922537,6
-0.3534068848,0.8465583159,7
-0.6164073573,0.8465583159,8
-0.3534068848,0.0206477638,9
0.17259406,-0.8052627883,10
-0.3534068848,-0.4748985675,11
0.04109382382,-1.30080912,12
-1.010908066,-0.6400806779,13
-0.7479075935,-1.30080912,14
-0.8794078297,-1.30080912,15
-1.405408775,-0.9704448987,16
2.852648648,2.908812702,1
1.408269586,0.5817625404,2
0.7582990078,0.5817625404,3
0.4694231953,0.1163525081,4
0.3249852891,-0.1163525081,5
-0.1083284297,0.1163525081,6
-0.1805473828,0.2327050162,7
-0.03610947656,-0.5817625404,8
-0.4694231953,-0.1163525081,9
-0.6860800547,0.2327050162,10
-0.6860800547,0.2327050162,11
-0.5416421484,-0.2327050162,12
-0.6138611016,-0.1163525081,13
-0.7582990078,-1.047172573,14
-0.9749558672,-1.047172573,15
-0.7582990078,-1.745287621,16
1.284879229,2.55550626,1
1.961131455,0,2
0.4733765582,1.597191412,3
1.284879229,0.3194382825,4
0.8791278938,0.1597191412,5
0.4733765582,0.4791574237,6
0.2028756678,0.4791574237,7
0.0676252226,-0.3194382825,8
-0.2028756678,0,9
-0.7438774486,0,10
-0.6086270034,-0.7985957062,11
-0.7438774486,-0.638876565,12
-0.8791278938,-0.4791574237,13
-1.149628784,-0.7985957062,14
-0.7438774486,-1.437472271,15
-1.55538012,-1.118033989,16
1.06038315,1.6425108,1
0.9178106256,0.9855064797,2
1.773245772,-0.3285021599,3
0.4900930525,1.14975756,4
1.345528199,-0.16425108,5
0.6326655769,0.4927532399,6
-0.08019704496,0.9855064797,7
0.2049480038,0.4927532399,8
-0.08019704496,0.3285021599,9
-0.9356321912,0.8212553998,10
-0.3653420937,-0.6570043198,11
-0.7930596668,-0.4927532399,12
-0.2227695693,-1.31400864,13
-0.7930596668,-1.47825972,14
-1.363349764,-1.31400864,15
-1.791067337,-1.14975756,16
1.626333107,1.515873458,1
0.2820577713,2.021164611,2
1.818372441,-0.1263227882,3
0.3780774382,0.8842595171,4
0.2820577713,0.3789683645,5
1.24225444,-1.010582305,6
-0.1980405629,0.8842595171,7
0.09001843766,-0.1263227882,8
-0.5821192302,0.3789683645,9
-0.3900798965,0,10
-0.2940602297,-0.2526455763,11
0.3780774382,-1.263227882,12
-0.4860995634,-0.1263227882,13
-0.8701782308,-0.3789683645,14
-1.446296232,-1.515873458,15
-1.830374899,-1.263227882,16
2.735915975,1.820132807,1
1.473185525,2.426843743,2
1.192578758,0.3033554679,3
0.3507584583,-0.1516777339,4
-0.4910618416,0.7583886696,5
-0.07015169166,0,6
-0.07015169166,0,7
-0.4910618416,0.1516777339,8
-0.07015169166,-0.6067109357,9
-0.4910618416,-0.1516777339,10
-0.7716686082,0,11
-0.6313652249,-0.3033554679,12
-0.4910618416,-0.9100664036,13
-0.3507584583,-1.213421871,14
-0.7716686082,-1.213421871,15
-1.052275375,-0.9100664036,16
1.647799827,2.312023907,1
2.185856914,0.6605782591,2
1.109742741,-0.3302891295,3
0.5716856543,0,4
-0.1008857037,0.8257228238,5
-0.6389427901,1.486301083,6
0.7061999259,-0.4954336943,7
-0.1008857037,0.3302891295,8
-0.3699142469,0.6605782591,9
-0.1008857037,-0.3302891295,10
-0.2353999753,-0.1651445648,11
-0.3699142469,-0.6605782591,12
-1.042485605,-0.6605782591,13
-0.9079713333,-1.156011953,14
-1.176999877,-1.156011953,15
-1.176999877,-1.321156518,16
2.703392557,2.780046499,1
1.596491668,0.320774596,2
0.2341521113,1.283098384,3
0.6598832227,0,4
0.149005889,0.2138497307,5
-0.1064327779,0.2138497307,6
0.06385966671,-0.1069248653,7
-0.5321638893,0.5346243267,8
-0.7024563338,0.320774596,9
-0.2767252224,-0.320774596,10
0.2341521113,-1.069248653,11
-0.2767252224,-0.4276994614,12
-0.7876025561,-0.7484740574,13
-0.7876025561,-1.176173519,14
-0.9578950007,-0.9623237881,15
-1.213333668,-0.8553989228,16
1.532596093,1.828750168,1
0.6721912688,1.547403988,2
0.9589928768,1.125384719,3
0.9589928768,0.1406730898,4
0.2419888568,0.7033654492,5
0.6721912688,0.1406730898,6
0.6721912688,0,7
0.5287904648,0.1406730898,8
0.09858805276,0.5626923594,9
-0.6184159673,0,10
0.3853896608,-1.266057809,11
-0.4750151633,-0.7033654492,12
-0.9052175753,-0.4220192695,13
-1.335419987,-1.125384719,14
-1.622221595,-1.406730898,15
-1.765622399,-1.266057809,16
1.850789961,1.312238108,1
1.961698723,0.6076807344,2
1.628972437,-0.09687663881,3
0.2980672971,1.312238108,4
0.07624977367,1.030415158,5
-0.7001115582,1.875884006,6
0.4089760588,0.3258577851,7
-0.03465898803,0.1849463105,8
-0.3673852731,-0.801434012,9
-1.032837843,0.04403483582,10
-0.4782940348,-0.801434012,11
-0.5892027965,-0.6605225373,12
-0.4782940348,-1.083256961,13
-0.5892027965,-1.224168436,14
-0.8110203199,-1.083256961,15
-1.143746605,-0.9423454866,16
0.9072354602,1.1620871,1
1.011665441,0.7395099729,2
1.429385365,0,3
0.4895155361,0.8451542547,4
0.4895155361,0.8451542547,5
0.3850855551,0.8451542547,6
1.011665441,0,7
-0.03263436907,0.7395099729,8
-0.1370643501,0.7395099729,9
-0.3459243122,0.9507985366,10
0.176225593,-0.7395099729,11
-0.03263436907,-0.633865691,12
-0.1370643501,-0.8451542547,13
-1.390224123,-1.373375664,14
-1.807944047,-1.479019946,15
-2.016804009,-1.795952791,16
0.9072354602,1.968475579,1
1.011665441,1.54141647,2
1.429385365,1.327886916,3
0.4895155361,0.7940630302,4
0.4895155361,0.2602391444,5
0.3850855551,0.2602391444,6
1.011665441,-0.06005518716,7
-0.03263436907,-0.1668199643,8
-0.1370643501,-0.3803495187,9
-0.3459243122,-0.3803495187,10
0.176225593,-0.4871142958,11
-0.03263436907,-0.4871142958,12
-0.1370643501,-0.4871142958,13
-1.390224123,-0.593879073,14
-1.807944047,-1.554762068,15
-2.016804009,-1.554762068,16
1.242697727,1.968475579,1
1.119962149,1.54141647,2
0.629019837,1.327886916,3
1.856375616,0.7940630302,4
0.8744909929,0.2602391444,5
0.7517554149,0.2602391444,6
-0.3528647866,-0.06005518716,7
0.2608131031,-0.1668199643,8
0.1380775252,-0.3803495187,9
-0.5983359425,-0.3803495187,10
-0.7210715204,-0.4871142958,11
-0.5983359425,-0.4871142958,12
-1.089278254,-0.4871142958,13
-0.8438070984,-0.593879073,14
-1.089278254,-1.554762068,15
-1.580220566,-1.554762068,16
2.257611855,1.968475579,1
1.012032901,1.54141647,2
0.9162191348,1.327886916,3
1.012032901,0.7940630302,4
0.8204053691,0.2602391444,5
0.3413365404,0.2602391444,6
-0.04191852251,-0.06005518716,7
-0.3293598197,-0.1668199643,8
-0.1377322882,-0.3803495187,9
-0.3293598197,-0.3803495187,10
-0.3293598197,-0.4871142958,11
-0.5209873512,-0.4871142958,12
-1.00005618,-0.4871142958,13
-1.479125008,-0.593879073,14
-1.00005618,-1.554762068,15
-1.191683711,-1.554762068,16
1.523271878,1.968475579,1
2.144223472,1.54141647,2
1.057558183,1.327886916,3
0.4366065893,0.7940630302,4
0.1261307925,0.2602391444,5
0.1261307925,0.2602391444,6
-0.1843450044,-0.06005518716,7
-0.02910710595,-0.1668199643,8
0.9023202845,-0.3803495187,9
-1.271010293,-0.3803495187,10
-0.4948208012,-0.4871142958,11
-0.6500586996,-0.4871142958,12
-0.6500586996,-0.4871142958,13
-0.9605344964,-0.593879073,14
-0.805296598,-1.554762068,15
-1.271010293,-1.554762068,16
2.209592672,1.968475579,1
0.2455102969,1.54141647,2
1.054250099,1.327886916,3
1.400852871,0.7940630302,4
0.5921130691,0.2602391444,5
0.4765788117,0.2602391444,6
0.3610445543,-0.06005518716,7
-0.2166267326,-0.1668199643,8
-0.2166267326,-0.3803495187,9
-0.33216099,-0.3803495187,10
-0.4476952473,-0.4871142958,11
-0.7942980195,-0.4871142958,12
-0.7942980195,-0.4871142958,13
-0.9098322768,-0.593879073,14
-0.9098322768,-1.554762068,15
-1.718572078,-1.554762068,16
1.603209013,1.968475579,1
1.518551111,1.54141647,2
0.2486825861,1.327886916,3
1.264577406,0.7940630302,4
0.8412878977,0.2602391444,5
0.4179983894,0.2602391444,6
-0.1746069222,-0.06005518716,7
-0.2592648238,-0.1668199643,8
-0.4285806271,-0.3803495187,9
0.3333404878,-0.3803495187,10
0.3333404878,-0.4871142958,11
-0.6825543321,-0.4871142958,12
-1.275159644,-0.4871142958,13
-0.9365280371,-0.593879073,14
-1.10584384,-1.554762068,15
-1.698449152,-1.554762068,16
2.192581308,1.968475579,1
2.401398575,1.54141647,2
0,1.327886916,3
0,0.7940630302,4
0,0.2602391444,5
0.4176345348,0.2602391444,6
-0.1044086337,-0.06005518716,7
-0.3132259011,-0.1668199643,8
-0.5220431685,-0.3803495187,9
0.4176345348,-0.3803495187,10
-0.4176345348,-0.4871142958,11
-0.4176345348,-0.4871142958,12
-0.9396777033,-0.4871142958,13
-0.8352690696,-0.593879073,14
-0.9396777033,-1.554762068,15
-0.9396777033,-1.554762068,16
0.7604171656,1.968475579,1
1.919148085,1.54141647,2
0.7604171656,1.327886916,3
0.9052585305,0.7940630302,4
1.050099895,0.2602391444,5
0.6155758007,0.2602391444,6
0.6155758007,-0.06005518716,7
-0.2534723885,-0.1668199643,8
-1.122520578,-0.3803495187,9
-1.122520578,-0.3803495187,10
0.4707344358,-0.4871142958,11
-0.3983137534,-0.4871142958,12
-0.9776792129,-0.4871142958,13
-1.122520578,-0.593879073,14
-0.832837848,-1.554762068,15
-1.267361943,-1.554762068,16
1.346291202,1.968475579,1
1.253443533,1.54141647,2
1.067748195,1.327886916,3
0.2321191727,0.7940630302,4
0.7892051873,0.2602391444,5
0.4178145109,0.2602391444,6
1.53198654,-0.06005518716,7
0.04642383454,-0.1668199643,8
-0.04642383454,-0.3803495187,9
-0.4178145109,-0.3803495187,10
-0.6963575182,-0.4871142958,11
-0.7892051873,-0.4871142958,12
-1.067748195,-0.4871142958,13
-0.9749005254,-0.593879073,14
-0.9749005254,-1.554762068,15
-1.717681878,-1.554762068,16
1.264321335,1.968475579,1
1.066963859,1.54141647,2
0.6722489052,1.327886916,3
1.264321335,0.7940630302,4
0.9682851203,0.2602391444,5
0.9682851203,0.2602391444,6
0.8696063819,-0.06005518716,7
0.08017647493,-0.1668199643,8
-0.6105746937,-0.3803495187,9
-0.2158597402,-0.3803495187,10
-0.8079321704,-0.4871142958,11
-0.9066109088,-0.4871142958,12
-0.9066109088,-0.4871142958,13
-1.400004601,-0.593879073,14
-0.8079321704,-1.554762068,15
-1.498683339,-1.554762068,16
1.803571155,1.968475579,1
0.6336871625,1.54141647,2
1.153635603,1.327886916,3
0.893661383,0.7940630302,4
0.7636742727,0.2602391444,5
0.893661383,0.2602391444,6
-0.01624838878,-0.06005518716,7
0.1137387215,-0.1668199643,8
-0.146235499,-0.3803495187,9
-0.2762226093,-0.3803495187,10
-0.66618394,-0.4871142958,11
0.1137387215,-0.4871142958,12
-1.446106602,-0.4871142958,13
-1.706080822,-0.593879073,14
-0.9261581605,-1.554762068,15
-1.186132381,-1.554762068,16
2.369039063,1.968475579,1
1.892251327,1.54141647,2
0.3426911852,1.327886916,3
0.7002819871,0.7940630302,4
0.2234942512,0.2602391444,5
-0.2532934847,0.2602391444,6
0.4618881192,-0.06005518716,7
0.1042973172,-0.1668199643,8
-0.8492781546,-0.3803495187,9
-0.9684750886,-0.3803495187,10
-0.7300812206,-0.4871142958,11
-0.8492781546,-0.4871142958,12
-0.1340965507,-0.4871142958,13
-0.6108842866,-0.593879073,14
-0.6108842866,-1.554762068,15
-1.087672023,-1.554762068,16
1.855076093,1.968475579,1
1.300286981,1.54141647,2
1.022892425,1.327886916,3
1.161589703,0.7940630302,4
0.3294060352,0.2602391444,5
-0.08668579873,0.2602391444,6
0.884195147,-0.06005518716,7
0.3294060352,-0.1668199643,8
-0.6414749106,-0.3803495187,9
-0.5027776326,-0.3803495187,10
-0.5027776326,-0.4871142958,11
-1.057566744,-0.4871142958,12
-0.7801721886,-0.4871142958,13
-0.7801721886,-0.593879073,14
-1.3349613,-1.554762068,15
-1.196264022,-1.554762068,16
2.002070045,1.968475579,1
1.771615939,1.54141647,2
1.310707727,1.327886916,3
-0.1872439611,0.7940630302,4
0.2736642508,0.2602391444,5
0.1584371978,0.2602391444,6
0.04321014486,-0.06005518716,7
-0.0720169081,-0.1668199643,8
-0.1872439611,-0.3803495187,9
-0.1872439611,-0.3803495187,10
0.04321014486,-0.4871142958,11
-0.5329251199,-0.4871142958,12
